ID	HC10	HC11	HC12	HC14	HC15	HC16	HC17	HC18	HC19	HC1	HC21	HC22	HC23	HC24	HC25	HC2	HC3	HC4	HC5	HC6	HC7	HC8	Patient10	Patient11	Patient12	Patient13	Patient14	Patient15	Patient16	Patient17	Patient20	Patient23	Patient24	Patient26	Patient27	Patient28	Patient29	Patient30	Patient31	Patient32	Patient33	Patient34	Patient35	Patient37	Patient38	Patient39	Patient3	Patient40	Patient44	Patient47	Patient49	Patient4	Patient50	Patient51	Patient52	Patient5	Patient6	Patient7	Patient8	Patient9	KEGG_Pathways
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	58.0	33.0	83.0	113.0	46.0	171.0	151.0	82.0	72.0	41.0	129.0	138.0	69.0	82.0	17.0	59.0	18.0	9.0	44.0	46.0	1072.0	20.0	26.0	22.0	13.0	47.0	24.0	75.0	13.0	7.0	17.0	9.0	11.0	21.0	9.0	284.0	26.0	18.0	18.0	189.0	69.0	22.0	11.0	45.0	13.0	26.0	21.0	48.0	9.0	19.0	16.0	713.0	46.0	352.0	29.0	396.0	67.0	79.0	11.0	16.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
ABC transporters	1255587.0	1411813.0	1285026.0	1500754.0	1890783.0	2344214.0	1874393.0	2087705.0	1332753.0	1349211.0	2199521.0	1774912.0	3265670.0	1633570.0	2104759.0	1683835.0	2421134.0	3817375.0	2292398.0	2269660.0	2846799.0	1696255.0	1871192.0	2197946.0	1875196.0	1472059.0	2178722.0	2909481.0	2821145.0	1694071.0	1668641.0	5147906.0	1265347.0	5973007.0	1470712.0	2506406.0	1750509.0	1553449.0	1865633.0	1934290.0	3578780.0	1644020.0	2653212.0	2146049.0	1462211.0	2630614.0	1679187.0	2177005.0	1725324.0	1299692.0	2285027.0	1922105.0	1817852.0	2221244.0	2013075.0	997283.0	1568555.0	1495626.0	2699632.0	1606530.0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	3.0	1.0	1.0	3.0	3.0	2.0	3.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0	4.0	3.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	2.0	3.0	3.0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	30109.0	27151.0	23995.0	41504.0	42096.0	29243.0	35688.0	45275.0	18685.0	16049.0	29515.0	36735.0	38468.0	22799.0	32491.0	38669.0	23324.0	24368.0	31143.0	22043.0	33818.0	48025.0	34786.0	31855.0	36557.0	41108.0	71428.0	32949.0	58493.0	50379.0	71288.0	43944.0	30032.0	36725.0	56342.0	38039.0	52313.0	33977.0	32722.0	45013.0	34022.0	34802.0	25553.0	51410.0	26814.0	37239.0	42529.0	31061.0	56097.0	29869.0	34352.0	65934.0	36558.0	44885.0	32826.0	17760.0	29496.0	44981.0	41801.0	54763.0	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	357.0	2251.0	636.0	1591.0	3218.0	387.0	3301.0	6144.0	677.0	1163.0	2693.0	608.0	1690.0	526.0	1140.0	2744.0	1574.0	1684.0	2741.0	3110.0	1142.0	7852.0	2847.0	1669.0	3572.0	2283.0	16842.0	4197.0	12775.0	2593.0	16736.0	18580.0	2815.0	18273.0	13489.0	4938.0	6646.0	9124.0	5796.0	5245.0	12021.0	5552.0	7311.0	6033.0	8511.0	8008.0	4895.0	3324.0	10343.0	3870.0	6101.0	11653.0	3043.0	3044.0	6079.0	6540.0	4262.0	3195.0	10747.0	12067.0	Human Diseases; Infectious Diseases; African trypanosomiasis
Alanine, aspartate and glutamate metabolism	435724.0	414226.0	423242.0	534335.0	617974.0	748438.0	615592.0	666322.0	388112.0	400818.0	658167.0	608226.0	984689.0	512702.0	634062.0	558065.0	665792.0	1046138.0	619255.0	573006.0	726519.0	506320.0	540783.0	642966.0	595456.0	529852.0	641825.0	821736.0	719346.0	646616.0	520374.0	860222.0	429309.0	915943.0	452591.0	654317.0	576461.0	490348.0	582104.0	607968.0	713666.0	478372.0	670273.0	787091.0	399788.0	620458.0	508261.0	525880.0	531650.0	414641.0	621519.0	612815.0	564342.0	737051.0	536342.0	257439.0	457463.0	533036.0	625226.0	501929.0	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	20948.0	18834.0	20445.0	22473.0	24895.0	32681.0	27117.0	27773.0	17797.0	16899.0	29134.0	25118.0	45638.0	22658.0	27281.0	23989.0	29923.0	45301.0	30109.0	28522.0	30839.0	23283.0	26736.0	27919.0	27194.0	23285.0	26089.0	34168.0	35679.0	32758.0	23439.0	54692.0	18134.0	64936.0	19997.0	29030.0	26637.0	29156.0	23599.0	27269.0	38182.0	20666.0	27991.0	34482.0	14414.0	29654.0	23570.0	24565.0	22558.0	16122.0	26664.0	27720.0	25841.0	30939.0	23849.0	8773.0	20490.0	23206.0	33120.0	24571.0	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	61777.0	60793.0	76235.0	79814.0	69675.0	73825.0	91541.0	71702.0	55624.0	33798.0	83751.0	87812.0	106915.0	66043.0	72338.0	92285.0	77633.0	95187.0	110371.0	126505.0	173242.0	75142.0	89393.0	102110.0	67994.0	69367.0	79047.0	67600.0	116301.0	76235.0	61719.0	384800.0	61566.0	421638.0	47182.0	124766.0	69077.0	91750.0	94398.0	96079.0	209232.0	78990.0	150837.0	73993.0	79076.0	148983.0	72808.0	110279.0	69456.0	61231.0	98664.0	83958.0	83159.0	89572.0	95965.0	50711.0	78449.0	66141.0	138740.0	66458.0	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	640886.0	579532.0	599387.0	687695.0	796164.0	1044816.0	820803.0	886556.0	538839.0	551190.0	898907.0	804242.0	1371026.0	742893.0	862605.0	741242.0	927116.0	1458057.0	858593.0	791595.0	980550.0	692368.0	739803.0	842189.0	798861.0	676546.0	813451.0	1126340.0	966812.0	889216.0	702898.0	1162221.0	557461.0	1362736.0	595069.0	880757.0	778769.0	669242.0	759123.0	805327.0	987828.0	631648.0	855490.0	1056350.0	508731.0	836747.0	698164.0	811019.0	702704.0	531674.0	834644.0	810298.0	772936.0	960040.0	752011.0	323367.0	612756.0	694858.0	878422.0	696800.0	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
