jaccard	HC1	HC11	HC18	HC8	Patient29	Patient20	Patient9	Patient4	Patient16	HC14	HC15	Patient13	Patient7	HC25	HC6	Patient10	Patient12	Patient3	Patient11	Patient30	Patient31	Patient38	Patient5	Patient33	Patient34	Patient47	Patient6	Patient23	Patient32	Patient51	Patient39	HC5	HC17	HC23	HC4	Patient15	HC3	Patient27	Patient49	Patient50	HC21	Patient35	Patient28	HC19	Patient8	HC7	Patient14	Patient44	Patient52	HC22	HC24	HC10	HC2	HC12	Patient37	HC16	Patient40	Patient26	Patient24	Patient17
HC1	0	0.795	0.765	0.792	0.848	0.905	0.889	0.869	0.878	0.904	0.826	0.814	0.886	0.835	0.903	0.923	0.910	0.890	0.919	0.922	0.888	0.980	0.987	0.890	0.921	0.881	0.899	0.981	0.908	0.829	0.942	0.844	0.866	0.838	0.845	0.893	0.792	0.951	0.856	0.816	0.847	0.982	0.867	0.885	0.864	0.912	0.968	0.943	0.891	0.869	0.894	0.828	0.891	0.920	0.959	0.857	0.917	0.912	0.938	0.958
HC11	0.795	0	0.758	0.681	0.724	0.858	0.822	0.878	0.841	0.814	0.784	0.740	0.768	0.799	0.831	0.836	0.842	0.762	0.832	0.861	0.932	0.968	0.979	0.815	0.798	0.821	0.839	0.971	0.853	0.819	0.871	0.731	0.797	0.796	0.846	0.853	0.765	0.898	0.853	0.752	0.827	0.972	0.810	0.773	0.839	0.824	0.933	0.870	0.870	0.862	0.911	0.797	0.807	0.879	0.903	0.851	0.870	0.816	0.902	0.876
HC18	0.765	0.758	0	0.675	0.650	0.777	0.748	0.794	0.746	0.815	0.763	0.776	0.764	0.771	0.812	0.912	0.836	0.808	0.856	0.894	0.909	0.975	0.985	0.856	0.817	0.782	0.848	0.980	0.868	0.831	0.869	0.821	0.838	0.770	0.807	0.799	0.788	0.943	0.844	0.765	0.752	0.980	0.829	0.856	0.783	0.867	0.939	0.883	0.822	0.835	0.869	0.797	0.810	0.875	0.899	0.818	0.862	0.882	0.944	0.937
HC8	0.792	0.681	0.675	0	0.552	0.660	0.636	0.722	0.743	0.794	0.796	0.751	0.757	0.788	0.794	0.853	0.845	0.785	0.801	0.900	0.925	0.962	0.983	0.837	0.834	0.831	0.820	0.970	0.860	0.820	0.828	0.736	0.805	0.798	0.873	0.832	0.828	0.918	0.854	0.792	0.826	0.969	0.816	0.818	0.796	0.787	0.921	0.905	0.796	0.851	0.899	0.804	0.831	0.871	0.920	0.865	0.870	0.837	0.941	0.915
Patient29	0.848	0.724	0.650	0.552	0	0.689	0.673	0.766	0.716	0.766	0.795	0.755	0.731	0.783	0.777	0.862	0.781	0.755	0.789	0.853	0.922	0.966	0.982	0.846	0.792	0.829	0.804	0.971	0.850	0.824	0.827	0.766	0.818	0.762	0.857	0.793	0.823	0.897	0.849	0.763	0.810	0.971	0.881	0.797	0.769	0.833	0.920	0.876	0.795	0.852	0.905	0.851	0.845	0.876	0.919	0.881	0.881	0.826	0.928	0.881
Patient20	0.905	0.858	0.777	0.660	0.689	0	0.635	0.738	0.837	0.860	0.859	0.872	0.836	0.904	0.891	0.884	0.817	0.796	0.878	0.882	0.921	0.934	0.945	0.891	0.851	0.832	0.840	0.932	0.801	0.846	0.795	0.884	0.846	0.905	0.926	0.811	0.904	0.888	0.795	0.866	0.874	0.937	0.877	0.883	0.793	0.916	0.880	0.867	0.828	0.938	0.953	0.940	0.924	0.957	0.894	0.952	0.871	0.878	0.952	0.936
Patient9	0.889	0.822	0.748	0.636	0.673	0.635	0	0.649	0.752	0.865	0.900	0.876	0.840	0.891	0.861	0.853	0.842	0.787	0.878	0.866	0.952	0.975	0.985	0.908	0.886	0.898	0.844	0.972	0.887	0.890	0.856	0.870	0.842	0.901	0.893	0.855	0.866	0.878	0.876	0.810	0.840	0.976	0.911	0.883	0.765	0.922	0.912	0.864	0.798	0.917	0.943	0.929	0.873	0.927	0.896	0.938	0.903	0.834	0.914	0.912
Patient4	0.869	0.878	0.794	0.722	0.766	0.738	0.649	0	0.829	0.915	0.907	0.900	0.863	0.941	0.954	0.916	0.908	0.845	0.936	0.927	0.925	0.968	0.981	0.939	0.934	0.923	0.921	0.972	0.916	0.906	0.942	0.925	0.918	0.928	0.927	0.935	0.920	0.929	0.910	0.874	0.909	0.939	0.918	0.956	0.834	0.910	0.917	0.940	0.804	0.958	0.953	0.954	0.897	0.951	0.938	0.957	0.926	0.932	0.933	0.939
Patient16	0.878	0.841	0.746	0.743	0.716	0.837	0.752	0.829	0	0.886	0.800	0.825	0.878	0.805	0.875	0.914	0.896	0.868	0.790	0.893	0.946	0.966	0.978	0.860	0.850	0.848	0.857	0.959	0.913	0.906	0.909	0.879	0.942	0.859	0.930	0.877	0.896	0.825	0.904	0.856	0.895	0.956	0.891	0.924	0.806	0.870	0.943	0.944	0.778	0.902	0.942	0.899	0.909	0.904	0.950	0.911	0.902	0.915	0.914	0.933
HC14	0.904	0.814	0.815	0.794	0.766	0.860	0.865	0.915	0.886	0	0.744	0.703	0.778	0.786	0.770	0.879	0.821	0.782	0.745	0.886	0.921	0.957	0.965	0.896	0.777	0.782	0.798	0.954	0.855	0.794	0.854	0.733	0.785	0.849	0.864	0.836	0.842	0.913	0.846	0.814	0.847	0.978	0.845	0.819	0.878	0.795	0.930	0.855	0.946	0.866	0.914	0.852	0.851	0.858	0.930	0.859	0.890	0.870	0.922	0.915
HC15	0.826	0.784	0.763	0.796	0.795	0.859	0.900	0.907	0.800	0.744	0	0.673	0.730	0.704	0.807	0.920	0.818	0.834	0.733	0.892	0.891	0.966	0.978	0.845	0.790	0.721	0.844	0.974	0.794	0.728	0.827	0.759	0.778	0.757	0.819	0.783	0.792	0.918	0.778	0.822	0.809	0.978	0.784	0.857	0.852	0.813	0.902	0.857	0.935	0.800	0.890	0.800	0.876	0.878	0.876	0.842	0.831	0.912	0.921	0.914
Patient13	0.814	0.740	0.776	0.751	0.755	0.872	0.876	0.900	0.825	0.703	0.673	0	0.659	0.773	0.777	0.887	0.802	0.791	0.778	0.877	0.893	0.960	0.970	0.831	0.765	0.728	0.819	0.962	0.824	0.779	0.841	0.764	0.788	0.786	0.841	0.823	0.811	0.912	0.828	0.810	0.801	0.974	0.803	0.839	0.852	0.799	0.897	0.860	0.940	0.821	0.882	0.836	0.815	0.851	0.905	0.858	0.828	0.898	0.911	0.893
Patient7	0.886	0.768	0.764	0.757	0.731	0.836	0.840	0.863	0.878	0.778	0.730	0.659	0	0.799	0.819	0.855	0.737	0.706	0.830	0.885	0.931	0.962	0.984	0.841	0.810	0.789	0.803	0.974	0.811	0.788	0.796	0.805	0.792	0.803	0.846	0.792	0.830	0.905	0.820	0.812	0.758	0.966	0.818	0.832	0.833	0.840	0.866	0.825	0.934	0.836	0.898	0.845	0.819	0.884	0.880	0.877	0.836	0.876	0.944	0.880
HC25	0.835	0.799	0.771	0.788	0.783	0.904	0.891	0.941	0.805	0.786	0.704	0.773	0.799	0	0.772	0.908	0.857	0.840	0.736	0.912	0.931	0.973	0.986	0.857	0.793	0.794	0.808	0.983	0.879	0.845	0.891	0.787	0.862	0.741	0.821	0.822	0.801	0.933	0.858	0.831	0.829	0.986	0.863	0.826	0.911	0.822	0.951	0.897	0.934	0.866	0.902	0.798	0.866	0.870	0.952	0.829	0.891	0.894	0.950	0.925
HC6	0.903	0.831	0.812	0.794	0.777	0.891	0.861	0.954	0.875	0.770	0.807	0.777	0.819	0.772	0	0.773	0.783	0.704	0.714	0.900	0.941	0.978	0.986	0.866	0.806	0.804	0.809	0.971	0.894	0.852	0.861	0.793	0.760	0.837	0.872	0.858	0.863	0.934	0.885	0.841	0.837	0.981	0.883	0.765	0.909	0.802	0.949	0.886	0.940	0.877	0.921	0.851	0.813	0.853	0.856	0.862	0.921	0.864	0.946	0.926
Patient10	0.923	0.836	0.912	0.853	0.862	0.884	0.853	0.916	0.914	0.879	0.920	0.887	0.855	0.908	0.773	0	0.788	0.701	0.814	0.876	0.933	0.954	0.968	0.881	0.892	0.909	0.837	0.952	0.902	0.917	0.897	0.874	0.795	0.909	0.904	0.888	0.884	0.896	0.864	0.893	0.886	0.949	0.917	0.849	0.886	0.910	0.927	0.886	0.920	0.958	0.952	0.916	0.891	0.937	0.873	0.941	0.909	0.851	0.929	0.902
Patient12	0.910	0.842	0.836	0.845	0.781	0.817	0.842	0.908	0.896	0.821	0.818	0.802	0.737	0.857	0.783	0.788	0	0.679	0.803	0.896	0.943	0.976	0.987	0.882	0.872	0.849	0.848	0.976	0.862	0.817	0.824	0.858	0.740	0.860	0.883	0.763	0.853	0.924	0.800	0.874	0.799	0.978	0.870	0.831	0.791	0.895	0.874	0.880	0.954	0.903	0.910	0.904	0.926	0.951	0.888	0.915	0.859	0.888	0.864	0.884
Patient3	0.890	0.762	0.808	0.785	0.755	0.796	0.787	0.845	0.868	0.782	0.834	0.791	0.706	0.840	0.704	0.701	0.679	0	0.762	0.870	0.949	0.974	0.986	0.855	0.840	0.823	0.785	0.976	0.841	0.847	0.826	0.832	0.746	0.867	0.881	0.812	0.862	0.889	0.828	0.835	0.810	0.976	0.836	0.820	0.787	0.835	0.873	0.778	0.889	0.920	0.946	0.908	0.813	0.901	0.883	0.917	0.862	0.841	0.937	0.879
Patient11	0.919	0.832	0.856	0.801	0.789	0.878	0.878	0.936	0.790	0.745	0.733	0.778	0.830	0.736	0.714	0.814	0.803	0.762	0	0.874	0.937	0.967	0.976	0.890	0.782	0.820	0.794	0.962	0.872	0.825	0.862	0.778	0.784	0.858	0.867	0.867	0.847	0.912	0.855	0.846	0.874	0.967	0.835	0.781	0.886	0.772	0.924	0.904	0.922	0.888	0.941	0.875	0.889	0.873	0.954	0.893	0.916	0.857	0.919	0.900
Patient30	0.922	0.861	0.894	0.900	0.853	0.882	0.866	0.927	0.893	0.886	0.892	0.877	0.885	0.912	0.900	0.876	0.896	0.870	0.874	0	0.765	0.812	0.831	0.714	0.738	0.730	0.720	0.813	0.840	0.886	0.895	0.882	0.887	0.896	0.892	0.913	0.884	0.746	0.820	0.860	0.916	0.794	0.922	0.903	0.880	0.878	0.947	0.885	0.915	0.919	0.944	0.932	0.897	0.925	0.930	0.937	0.923	0.890	0.879	0.887
Patient31	0.888	0.932	0.909	0.925	0.922	0.921	0.952	0.925	0.946	0.921	0.891	0.893	0.931	0.931	0.941	0.933	0.943	0.949	0.937	0.765	0	0.601	0.614	0.651	0.828	0.732	0.777	0.759	0.888	0.896	0.934	0.914	0.921	0.894	0.895	0.921	0.893	0.822	0.830	0.902	0.917	0.755	0.936	0.948	0.928	0.941	0.963	0.947	0.952	0.910	0.924	0.923	0.920	0.969	0.959	0.911	0.902	0.946	0.960	0.966
Patient38	0.980	0.968	0.975	0.962	0.966	0.934	0.975	0.968	0.966	0.957	0.966	0.960	0.962	0.973	0.978	0.954	0.976	0.974	0.967	0.812	0.601	0	0.395	0.729	0.859	0.837	0.836	0.780	0.911	0.968	0.945	0.929	0.952	0.959	0.977	0.975	0.966	0.839	0.904	0.966	0.952	0.753	0.970	0.981	0.946	0.961	0.964	0.973	0.961	0.970	0.973	0.975	0.953	0.967	0.956	0.966	0.952	0.965	0.974	0.978
Patient5	0.987	0.979	0.985	0.983	0.982	0.945	0.985	0.981	0.978	0.965	0.978	0.970	0.984	0.986	0.986	0.968	0.987	0.986	0.976	0.831	0.614	0.395	0	0.739	0.877	0.840	0.851	0.795	0.935	0.976	0.961	0.965	0.977	0.980	0.980	0.981	0.979	0.868	0.926	0.968	0.984	0.777	0.986	0.985	0.982	0.968	0.984	0.985	0.977	0.980	0.981	0.988	0.973	0.983	0.985	0.970	0.967	0.980	0.985	0.989
Patient33	0.890	0.815	0.856	0.837	0.846	0.891	0.908	0.939	0.860	0.896	0.845	0.831	0.841	0.857	0.866	0.881	0.882	0.855	0.890	0.714	0.651	0.729	0.739	0	0.750	0.680	0.720	0.726	0.844	0.883	0.868	0.843	0.898	0.837	0.882	0.874	0.854	0.804	0.827	0.865	0.879	0.759	0.880	0.882	0.872	0.876	0.965	0.913	0.910	0.892	0.923	0.887	0.867	0.925	0.930	0.874	0.871	0.853	0.950	0.916
Patient34	0.921	0.798	0.817	0.834	0.792	0.851	0.886	0.934	0.850	0.777	0.790	0.765	0.810	0.793	0.806	0.892	0.872	0.840	0.782	0.738	0.828	0.859	0.877	0.750	0	0.654	0.704	0.851	0.820	0.831	0.844	0.814	0.875	0.839	0.868	0.877	0.843	0.806	0.817	0.792	0.851	0.860	0.877	0.826	0.871	0.808	0.941	0.876	0.932	0.884	0.925	0.859	0.874	0.838	0.915	0.888	0.893	0.859	0.907	0.923
Patient47	0.881	0.821	0.782	0.831	0.829	0.832	0.898	0.923	0.848	0.782	0.721	0.728	0.789	0.794	0.804	0.909	0.849	0.823	0.820	0.730	0.732	0.837	0.840	0.680	0.654	0	0.694	0.838	0.802	0.745	0.823	0.811	0.844	0.825	0.851	0.836	0.840	0.813	0.792	0.820	0.834	0.839	0.826	0.854	0.870	0.843	0.912	0.849	0.947	0.847	0.908	0.860	0.866	0.859	0.905	0.873	0.858	0.899	0.961	0.912
