jaccard	HC1	HC10	HC11	HC12	HC14	HC15	HC16	HC17	HC18	HC19	HC2	HC21	HC22	HC23	HC24	HC25	HC3	HC4	HC5	HC6	HC7	HC8	Patient10	Patient11	Patient12	Patient13	Patient14	Patient15	Patient16	Patient17	Patient20	Patient23	Patient24	Patient26	Patient27	Patient28	Patient29	Patient3	Patient30	Patient31	Patient32	Patient33	Patient34	Patient35	Patient37	Patient38	Patient39	Patient4	Patient40	Patient44	Patient47	Patient49	Patient5	Patient50	Patient51	Patient52	Patient6	Patient7	Patient8	Patient9
HC1	0	0.828	0.795	0.920	0.904	0.826	0.857	0.866	0.765	0.885	0.891	0.847	0.869	0.838	0.894	0.835	0.792	0.845	0.844	0.903	0.912	0.792	0.923	0.919	0.910	0.814	0.968	0.893	0.878	0.958	0.905	0.981	0.938	0.912	0.951	0.867	0.848	0.890	0.922	0.888	0.908	0.890	0.921	0.982	0.959	0.980	0.942	0.869	0.917	0.943	0.881	0.856	0.987	0.816	0.829	0.891	0.899	0.886	0.864	0.889
HC10	0.828	0	0.797	0.807	0.852	0.800	0.819	0.882	0.797	0.858	0.896	0.821	0.860	0.814	0.878	0.798	0.819	0.866	0.830	0.851	0.866	0.804	0.916	0.875	0.904	0.836	0.973	0.877	0.899	0.954	0.940	0.984	0.961	0.907	0.963	0.868	0.851	0.908	0.932	0.923	0.904	0.887	0.859	0.984	0.959	0.975	0.908	0.954	0.896	0.945	0.860	0.892	0.988	0.847	0.859	0.953	0.863	0.845	0.916	0.929
HC11	0.795	0.797	0	0.879	0.814	0.784	0.851	0.797	0.758	0.773	0.807	0.827	0.862	0.796	0.911	0.799	0.765	0.846	0.731	0.831	0.824	0.681	0.836	0.832	0.842	0.740	0.933	0.853	0.841	0.876	0.858	0.971	0.902	0.816	0.898	0.810	0.724	0.762	0.861	0.932	0.853	0.815	0.798	0.972	0.903	0.968	0.871	0.878	0.870	0.870	0.821	0.853	0.979	0.752	0.819	0.870	0.839	0.768	0.839	0.822
HC12	0.920	0.807	0.879	0	0.858	0.878	0.882	0.921	0.875	0.858	0.883	0.856	0.910	0.898	0.925	0.870	0.896	0.924	0.854	0.853	0.862	0.871	0.937	0.873	0.951	0.851	0.958	0.939	0.904	0.946	0.957	0.977	0.961	0.901	0.960	0.897	0.876	0.901	0.925	0.969	0.912	0.925	0.838	0.970	0.950	0.967	0.897	0.951	0.954	0.924	0.859	0.959	0.983	0.869	0.905	0.939	0.891	0.884	0.914	0.927
HC14	0.904	0.852	0.814	0.858	0	0.744	0.859	0.785	0.815	0.819	0.851	0.847	0.866	0.849	0.914	0.786	0.842	0.864	0.733	0.770	0.795	0.794	0.879	0.745	0.821	0.703	0.930	0.836	0.886	0.915	0.860	0.954	0.922	0.870	0.913	0.845	0.766	0.782	0.886	0.921	0.855	0.896	0.777	0.978	0.930	0.957	0.854	0.915	0.890	0.855	0.782	0.846	0.965	0.814	0.794	0.946	0.798	0.778	0.878	0.865
HC15	0.826	0.800	0.784	0.878	0.744	0	0.842	0.778	0.763	0.857	0.876	0.809	0.800	0.757	0.890	0.704	0.792	0.819	0.759	0.807	0.813	0.796	0.920	0.733	0.818	0.673	0.902	0.783	0.800	0.914	0.859	0.974	0.921	0.912	0.918	0.784	0.795	0.834	0.892	0.891	0.794	0.845	0.790	0.978	0.876	0.966	0.827	0.907	0.831	0.857	0.721	0.778	0.978	0.822	0.728	0.935	0.844	0.730	0.852	0.900
HC16	0.857	0.819	0.851	0.882	0.859	0.842	0	0.898	0.818	0.869	0.889	0.822	0.866	0.813	0.889	0.829	0.818	0.866	0.846	0.862	0.879	0.865	0.941	0.893	0.915	0.858	0.977	0.875	0.911	0.955	0.952	0.965	0.963	0.940	0.962	0.902	0.881	0.917	0.937	0.911	0.902	0.874	0.888	0.978	0.949	0.966	0.906	0.957	0.876	0.952	0.873	0.906	0.970	0.876	0.874	0.930	0.893	0.877	0.916	0.938
HC17	0.866	0.882	0.797	0.921	0.785	0.778	0.898	0	0.838	0.784	0.871	0.815	0.881	0.857	0.923	0.862	0.818	0.867	0.781	0.760	0.885	0.805	0.795	0.784	0.740	0.788	0.907	0.826	0.942	0.901	0.846	0.968	0.950	0.873	0.920	0.852	0.818	0.746	0.887	0.921	0.813	0.898	0.875	0.972	0.896	0.952	0.828	0.918	0.872	0.879	0.844	0.854	0.977	0.871	0.818	0.935	0.869	0.792	0.888	0.842
HC18	0.765	0.797	0.758	0.875	0.815	0.763	0.818	0.838	0	0.856	0.810	0.752	0.835	0.770	0.869	0.771	0.788	0.807	0.821	0.812	0.867	0.675	0.912	0.856	0.836	0.776	0.939	0.799	0.746	0.937	0.777	0.980	0.944	0.882	0.943	0.829	0.650	0.808	0.894	0.909	0.868	0.856	0.817	0.980	0.899	0.975	0.869	0.794	0.862	0.883	0.782	0.844	0.985	0.765	0.831	0.822	0.848	0.764	0.783	0.748
HC19	0.885	0.858	0.773	0.858	0.819	0.857	0.869	0.784	0.856	0	0.886	0.854	0.883	0.846	0.911	0.826	0.798	0.865	0.794	0.765	0.871	0.818	0.849	0.781	0.831	0.839	0.953	0.859	0.924	0.899	0.883	0.982	0.960	0.859	0.932	0.900	0.797	0.820	0.903	0.948	0.879	0.882	0.826	0.980	0.955	0.981	0.855	0.956	0.919	0.910	0.854	0.897	0.985	0.810	0.852	0.936	0.841	0.832	0.920	0.883
HC2	0.891	0.896	0.807	0.883	0.851	0.876	0.889	0.871	0.810	0.886	0	0.856	0.903	0.874	0.933	0.866	0.867	0.887	0.858	0.813	0.856	0.831	0.891	0.889	0.926	0.815	0.951	0.902	0.909	0.914	0.924	0.960	0.949	0.887	0.925	0.891	0.845	0.813	0.897	0.920	0.901	0.867	0.874	0.961	0.899	0.953	0.903	0.897	0.911	0.876	0.866	0.930	0.973	0.798	0.901	0.907	0.879	0.819	0.898	0.873
HC21	0.847	0.821	0.827	0.856	0.847	0.809	0.822	0.815	0.752	0.854	0.856	0	0.872	0.802	0.871	0.829	0.774	0.815	0.825	0.837	0.883	0.826	0.886	0.874	0.799	0.801	0.872	0.790	0.895	0.926	0.874	0.971	0.969	0.883	0.935	0.855	0.810	0.810	0.916	0.917	0.830	0.879	0.851	0.959	0.862	0.952	0.804	0.909	0.849	0.878	0.834	0.812	0.984	0.858	0.843	0.917	0.845	0.758	0.799	0.840
