#OTU ID	HC1	HC10	HC11	HC12	HC14	HC15	HC16	HC17	HC18	HC19	HC2	HC21	HC22	HC23	HC24	HC25	HC3	HC4	HC5	HC6	HC7	HC8	Patient10	Patient11	Patient12	Patient13	Patient14	Patient15	Patient16	Patient17	Patient20	Patient23	Patient24	Patient26	Patient27	Patient28	Patient29	Patient3	Patient30	Patient31	Patient32	Patient33	Patient34	Patient35	Patient37	Patient38	Patient39	Patient4	Patient40	Patient44	Patient47	Patient49	Patient5	Patient50	Patient51	Patient52	Patient6	Patient7	Patient8	Patient9
ASV_1	92	42	185	52	406	581	756	402	114	117	423	458	4	619	106	159	493	367	836	207	989	320	1887	1276	251	211	346	178	1507	44	5777	19303	544	806	13296	20	426	249	16585	34232	4700	27792	12770	22301	289	50347	2989	689	1430	347	12870	7327	43806	1829	1410	1311	15182	224	238	402
ASV_10	2123	1639	2514	170	2356	2989	561	2055	808	947	1427	289	456	1115	227	1193	1521	949	2634	543	2400	2657	805	2066	176	4219	60	196	39	220	214	84	10481	225	1384	3532	695	573	413	1206	360	279	931	42	361	76	147	1292	654	265	534	3950	16	1554	3808	37	2126	1230	38	94
ASV_100	3	83	79	775	85	5	5	43	138	1513	194	216	65	4	34	379	46	55	44	4	4	38	10	69	170	277	7	5	3	72	4	3	3	26	22	2	222	249	243	7	27	5	750	2	3	9	3	5	4	233	334	5	7	848	5	2	6	118	21	45
ASV_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1001	0	0	3	0	0	1	1	0	0	1	2	4	0	2	0	1	26	0	2	0	0	1	5	0	0	0	7	1	1	1	2	0	1	3	0	1	1	93	1	0	0	0	0	0	0	0	0	3	0	2	1	0	1	0	0	0	5	9	6	7
ASV_1003	0	0	204	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	0	1	0	0	0	0	0	0	0	0
ASV_1004	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_1005	1	10	2	13	31	10	0	0	16	3	0	3	0	0	0	7	0	0	0	1	4	0	0	0	0	6	0	1	0	1	0	0	0	0	0	0	2	1	1	0	0	1	2	0	0	0	0	0	0	1	8	0	0	2	2	0	0	3	0	0
ASV_1006	1	0	4	0	1	1	4	130	1	14	0	2	0	0	0	5	12	2	2	18	2	1	0	2	1	4	0	7	0	2	2	0	0	2	1	2	1	0	0	1	0	4	0	0	1	0	1	1	1	1	1	0	2	2	1	0	5	1	2	0
ASV_1009	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101	17	0	105	3	2	0	1	47	0	9	0	0	0	0	9	2211	3	1	2	3	0	8	1	79	2	50	1	2	1	0	4	1	0	22	0	1263	0	62	0	31	0	3	18	0	0	0	1	2	1	5	16	0	0	22	59	1	3	0	4	0
ASV_1010	0	0	0	0	0	0	0	0	0	1	0	28	0	0	0	0	13	0	0	0	0	0	22	13	18	15	15	0	18	11	0	0	0	1	0	1	0	30	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	1	0	27	20	22	20
ASV_1012	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	26	1	0	0	0	0	1	0	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	18	0	0	0	5	0	0	1	0	0	1
ASV_1013	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	53	1	0	0
ASV_1014	1	0	0	13	20	0	6	1	12	6	0	0	22	0	7	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	3	0	0	0	0	0
ASV_1016	0	0	0	0	0	0	0	0	61	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1017	10	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
